symbol,earnings_date,expected_move,actual_move,abs_actual_move,move_ratio,sd_03,sd_05,sd_07,sd_10,sd_20
AAT,2018-05-02,0.018292,-0.027385159,0.027385159,1.4971112508200306,0.010150851488942274,0.011631476663520221,0.010746370559605471,0.012989598085999915,0.011196736163858417
AAU,2018-05-11,0.092267,-0.064593301,0.064593301,0.7000693747493687,0.00811703343110802,0.0141914059702727,0.01646623649574758,0.01988602364220025,0.017654926186896704
AAV,2016-08-05,0.019489,0.034108527,0.034108527,1.7501424906357432,0.009922250603021055,0.011880214299813084,0.013958274002120402,0.021115085206073258,0.018643682976643854
AAV,2016-11-04,0.020507,-0.015384615,0.015384615,0.7502128541473643,0.015627391154654696,0.022596528350941184,0.02012035663246554,0.018140621632130958,0.02217930942568015
AAV,2017-03-03,0.052308,-0.025423729,0.025423729,0.4860390188881242,0.042931626916096206,0.030529101957384664,0.02640139550577179,0.026374620670788797,0.020606904012311706
AAV,2017-05-05,0.041418,0.033898305,0.033898305,0.8184437925539619,0.041133449484286176,0.03332471132253667,0.03033548097546304,0.02659494724365579,0.02340670969477367
AAV,2017-08-04,0.030517,0,0,0,0.023579426930808643,0.022682526554960076,0.01953876109357592,0.01741335315346231,0.014162383609130419
AAV,2017-11-03,0.024317,0.008849558,0.008849558,0.3639247440062508,0.013341620825465469,0.02095254257388644,0.029964948396058958,0.026964117250329885,0.021852092834247046
AAV,2018-03-02,0.103163,0.018181818,0.018181818,0.17624359508738596,0.06135362959705682,0.044306827944956245,0.03946711762201634,0.034092982601361795,0.0364921842016236
AAV,2018-03-06,0.09967,0.052631579,0.052631579,0.5280583826627872,0.04870965897568975,0.03672736932216055,0.030666536921730866,0.033195199895759475,0.03639558629910707
AAV,2018-05-04,0.062575,-0.016393443,0.016393443,0.261980711146624,0.016808107422596308,0.025121079961488244,0.0380484324403353,0.032068596082420554,0.027823056628858905
AAWW,2016-08-03,0.082262,-0.069343066,0.069343066,0.8429538061316282,0.03918062739988328,0.029464772807648965,0.02451001867701394,0.022996564051430215,0.02079261834602373
AAWW,2016-11-03,0.077841,0.03276699,0.03276699,0.4209477010829769,0.02075282641718855,0.02058341520366246,0.02352716643976926,0.024896949762846277,0.02076077988229734
AAWW,2017-02-23,0.062837,0.045751634,0.045751634,0.7281002275729267,0.014637191656985953,0.014605432177851336,0.013168520344907928,0.013159458519391959,0.014297415344533979
AAWW,2017-05-03,0.06163,-0.076989619,0.076989619,1.2492230894045109,0.0076407185217594546,0.0090015649622318325,0.01153383836356433,0.022794070156484655,0.023362516226752505
AAWW,2017-08-02,0.076559,0.117056856,0.117056856,1.528975770320929,0.01637458088325094,0.014556117767349651,0.012450695320692155,0.01690357832952229,0.017661555757366998
AAWW,2017-11-07,0.08453,-0.078882498,0.078882498,0.9331893765527032,0.032682840067082476,0.023901468624223054,0.022201906518045166,0.022792340580126642,0.01941412170615852
AAWW,2018-02-22,0.082442,0.153846154,0.153846154,1.866113801217826,0.01195167480978733,0.008661579137805797,0.009837939841272637,0.01018815516109088,0.013180247183601789
AAWW,2018-05-03,0.080449,0.074103586,0.074103586,0.9211250108764558,0.006408466710795184,0.005500055792426506,0.0064009766774510155,0.007656789242137859,0.00815064014827918
AAXN,2017-05-10,0.069287,0.042494043,0.042494043,0.6133047036240565,0.016233976322667883,0.02228869215452518,0.02222520017516683,0.019156018274583003,0.01619983126733451
AAXN,2017-08-09,0.084869,-0.090478072,0.090478072,1.0660909401548269,0.010589768011018581,0.011910929608968751,0.017680725088418787,0.014839924444277569,0.01280722398870601
AAXN,2017-11-08,0.096145,-0.06214442,0.06214442,0.6463614332518592,0.01121325308878851,0.015216403013109026,0.017193577066714365,0.015177903044319757,0.014117625082230321
AAXN,2018-02-28,0.09,0.278165138,0.278165138,3.0907237555555556,0.04728761379629339,0.034262209251482954,0.03076020694871964,0.028390256306843657,0.023799129174112373
AAXN,2018-05-09,0.097615,0.223292273,0.223292273,2.287479106694668,0.018779926672274728,0.02822020951059571,0.030233530831586454,0.030119613860563124,0.02812966186889602
AB,2016-07-28,0.029419,-0.014820914,0.014820914,0.5037871443624868,0.024704925200990182,0.022416961168537683,0.024153972660008283,0.0198769261076287,0.01619741916748248
AB,2016-10-26,0.029938,0.029885057,0.029885057,0.9982315785957646,0.017454975075871692,0.012426275423096819,0.012515543345487677,0.01680280065042331,0.0202366525556779
AB,2017-02-14,0.017505,0.031578947,0.031578947,1.803995829762925,0.026888437764815393,0.022045214876460207,0.018200158405939856,0.015105272463190341,0.011199391237981039
AB,2017-04-27,0.032531,0.002197802,0.002197802,0.06756023485290953,0.020007681497499853,0.015447317077305827,0.01721623064320454,0.016465737752035723,0.012782075104513499
AB,2017-07-27,0.035487,0.006024096,0.006024096,0.16975500887648998,0.027448573583102917,0.01954476002253549,0.01708261854610909,0.016399974710790476,0.01338068342852509
AB,2017-10-25,0.021971,0.005859375,0.005859375,0.2666867689226708,0.010907815950258429,0.009853221036076932,0.008272445147358374,0.009540562043870203,0.009500743966580804
AB,2018-02-13,0.018519,0.037401575,0.037401575,2.0196325395539714,0.00894188923064275,0.00765781137694357,0.0077821639573413676,0.011340639979826763,0.011188011193491786
AB,2018-04-26,0.031128,0.005747126,0.005747126,0.184628822924698,0.014223544185803046,0.012795825372598208,0.011790936027723721,0.01200652925685832,0.009926661683030117
ABB,2016-07-21,0.023939,0.022727273,0.022727273,0.9493827227536656,0.006942620426086082,0.00570456548289173,0.006984070219758548,0.0067316061509128415,0.006161513339582169
ABB,2016-10-27,0.020875,-0.070199275,0.070199275,3.362839520958084,0.005518025902592112,0.004149202544583367,0.010065419536933629,0.009564110414210722,0.009041490435723325
ABB,2017-02-08,0.024878,-0.035820896,0.035820896,1.4398623683575849,0.0022270942883274385,0.0047702522890351075,0.0057555073032197,0.005718695373098948,0.007682384247247168
ABB,2017-04-20,0.03055,0.029636282,0.029636282,0.9700910638297872,0.006763576788739549,0.009586011108785436,0.01008256074518226,0.009309884317127646,0.010101948950432578
ABB,2017-07-20,0.030122,-0.027899562,0.027899562,0.9262187769736405,0.010568643726792153,0.00932958397331789,0.009742847673328402,0.00874877778957489,0.008840815753100138
ABB,2017-10-26,0.024654,0.015980823,0.015980823,0.6482040642492092,0.017716842020854308,0.014105106500492055,0.011547466162132026,0.011928972374782711,0.010030114590817735
ABB,2018-02-08,0.030791,-0.070772762,0.070772762,2.298488584326589,0.011062643732190016,0.014196075615954143,0.01350800245426617,0.012426112115314207,0.011196568845988318
ABB,2018-04-19,0.033332,0.034526854,0.034526854,1.0358470538821554,0.008271970945208207,0.009368917771316643,0.00808880917546061,0.007465584730848862,0.00747570747275175
ABBV,2016-07-29,0.026431,0.023331273,0.023331273,0.8827238091634823,0.007796226784851886,0.007418036214199675,0.006638386108449782,0.006245972621015448,0.007042612336094397
ABBV,2016-10-28,0.025913,-0.062805076,0.062805076,2.423689885385714,0.02363917349509763,0.01798909975965805,0.025783709206978447,0.029926133879543022,0.024195211960541474
ABBV,2017-01-27,0.02309,-0.020727926,0.020727926,0.8977014291901256,0.007672705046292386,0.006687357961648106,0.005681937589471353,0.005550732835375417,0.005703146940399764
ABBV,2017-04-27,0.024137,0.015836408,0.015836408,0.6561050669097237,0.005102343847291827,0.004231135870913542,0.006834267973786104,0.006519348692246391,0.007974202405659611
